Player,PPR
Tory Carter,0
Garrett Griffin,0
Ryan Griffin,6.6
Alec Ingold,38.3
Anthony Schwartz,18.8
KJ Hamler,25.8
Josiah Deguara,24.4
Curtis Samuel,176.3
Baker Mayfield,121.4
Trent Sherfield,83.7
Phillip Lindsay,14.8
David Montgomery,177.7
DeAndre Carter,112.3
AJ Dillon,167.6
Zack Moss,64.5
Mike Davis,4.2
Kyle Rudolph,11.8
Kyle Allen,15.9
Giovanni Ricci,18.0
Zach Wilson,98.9
Marquise Brown,156.0
Michael Carter,126.0
Alexander Mattison,88.4
Noah Gray,70.0
Ja'Marr Chase,242.4
C.J. Ham,31.3
Tyrod Taylor,11.3
Larry Rountree,5.3
John Wolford,14.8
Ben Skowronek,84.3
Hunter Long,0
Zay Jones,198.1
Jerry Jeudy,204.2
Darius Slayton,128.4
Darren Waller,84.8
Will Dissly,86.9
Chester Rogers,-2.0
Tyler Boyd,167.1
Hayden Hurst,105.4
Jonnu Smith,52.0
Jaylen Waddle,259.2
Rashard Higgins,0
Mecole Hardman,93.8
Jeff Wilson,158.5
Joshua Kelley,64.8
Dallas Goedert,141.2
Simi Fehoko,5.4
Chase Claypool,105.0
Dare Ogunbowale,48.7
Willie Snead,0
Salvon Ahmed,14.2
Boston Scott,46.2
Brandon Zylstra,0
Josh Jacobs,328.3
Andrew Beck,11.9
Matthew Slater,0
Isaiah Hodgins,100.2
Nick Bellore,0.3
Tim Boyle,-2.9
Keenan Allen,164.0
Hunter Henry,103.9
Dezmon Patmon,4.4
Devin Asiasi,2.5
Equanimeous St. Brown,64.7
Ryan Tannehill,161.2
Nyheim Hines,81.4
Randall Cobb,81.7
Kyler Murray,200.5
Kendall Blanton,5.5
Jacob Hollister,0
Adam Trautman,44.7
Josh Reynolds,103.9
Ty Montgomery,10.3
Saquon Barkley,284.0
Jamal Agnew,70.3
Denzel Mims,29.6
Rashod Bateman,53.5
Tyrie Cleveland,4.8
Reggie Bonnafon,0.8
Mac Jones,170.1
Justin Jefferson,368.7
Anthony Firkser,19.0
Ty'Son Williams,1.5
Kevin Rader,0
Chris Manhertz,10.2
Tua Tagovailoa,230.9
Dwayne Washington,5.5
Qadree Ollison,0
Michael Gallup,105.4
Marquez Valdes-Scantling,122.4
Jacob Harris,1.6
Derrick Henry,302.8
Robbie Chosen,52.2
Penny Hart,5.0
Jeff Driskel,17.2
Zach Ertz,115.6
Jalen Reagor,26.9
Sam Darnold,86.3
Andy Dalton,174.2
CeeDee Lamb,301.6
Matt Breida,59.8
Tyron Johnson,1.8
Malcolm Brown,22.8
Juwann Winfree,2.7
Mike Williams,176.5
Tutu Atwell,63.2
Cody White,1.2
Jimmy Garoppolo,164.8
Chris Godwin,222.8
Tanner Hudson,23.2
DeSean Jackson,24.3
Braxton Berrios,57.7
Rondale Moore,87.9
Devine Ozigbo,1.7
Marcus Mariota,196.6
Jacob Eason,0.4
Luke Farrell,8.0
Brock Wright,63.6
Tevin Coleman,22.0
Cordarrelle Patterson,154.7
Damien Harris,90.9
Jack Stoll,23.3
Matt Ryan,155.3
Joe Burrow,350.7
Raheem Mostert,168.3
Gardner Minshew II,36.8
Tre' McKitty,17.2
Brandon Bolden,27.3
Feleipe Franks,0
Tony Jones,10.4
Kirk Merritt,0
George Kittle,200.5
Chase Edmonds,74.2
Justin Herbert,281.3
Javonte Williams,42.0
Dan Chisena,0
Carson Wentz,112.8
Drew Sample,1.8
Nathan Peterman,8.3
David Sills,21.6
Breshad Perriman,23.3
Marquise Goodwin,90.2
Dontrell Hilliard,77.2
Stefon Diggs,316.6
Tee Higgins,220.9
Mike Strachan,8.9
Terrace Marshall Jr.,83.0
Greg Dortch,113.1
Colt McCoy,32.8
Nick Vannett,11.5
Alex Armah,0
C.J. Beathard,-1.0
Keith Kirkwood,3.8
Ronald Jones II,16.2
DeeJay Dallas,46.2
Lil'Jordan Humphrey,4.0
Case Keenum,0.3
Lawrence Cager,30.8
Josh Oliver,40.9
Preston Williams,0
Patrick Mahomes,417.4
Corey Clement,21.9
Jameis Winston,43.9
James Proche,12.2
Benny Snell Jr.,18.7
Jordan Love,11.7
Tyler Kroft,9.7
Cam Akers,141.3
Tyler Higbee,152.0
Marcedes Lewis,26.6
Cole Kmet,147.3
Foster Moreau,85.2
Phillip Dorsett,51.7
Keke Coutee,1.0
D'Ernest Johnson,5.4
Jamycal Hasty,70.0
Zach Pascal,36.0
Najee Harris,223.5
Brandon Aiyuk,227.8
Jody Fortson,29.8
Julio Jones,70.4
Logan Thomas,77.3
Cameron Brate,37.4
Davis Mills,181.5
James Robinson,88.6
Ameer Abdullah,54.1
Austin Hooper,97.4
Daniel Jones,289.0
Kyle Juszczyk,53.6
David Blough,18.6
Richard Rodgers,1.4
A.J. Brown,299.6
Jerick McKinnon,196.3
Aaron Rodgers,239.2
Jesse James,0
Cooper Rush,56.6
Trinity Benson,0
DeAndre Hopkins,151.7
Chris Streveler,9.0
River Cracraft,31.2
Trevor Siemian,10.2
Marlon Mack,38.3
Ezekiel Elliott,185.8
Khalil Herbert,117.8
Mike Thomas,7.8
Byron Pringle,35.5
Melvin Gordon,87.1
Allen Lazard,174.8
Pharoh Cooper,4.1
Jacoby Brissett,168.6
Jaelon Darden,4.8
J.J. Taylor,2.7
Steven Sims,31.4
Nick Foles,1.8
Mitchell Trubisky,73.9
Chuba Hubbard,87.7
Damiere Byrd,51.8
Chris Moore,115.1
Dyami Brown,32.8
Kareem Hunt,126.8
Patrick Ricard,20.0
Rhamondre Stevenson,249.1
Nsimba Webster,3.4
Mark Andrews,190.5
T.Y. Hilton,19.1
Craig Reynolds,30.8
Laviska Shenault Jr.,72.7
Rex Burkhead,77.4
Josh Allen,395.5
O.J. Howard,36.5
Noah Brown,114.5
Derek Watt,20.2
Marcus Johnson,18.9
Maxx Williams,4.8
Kenny Golladay,20.1
Jakob Johnson,6.0
Trevon Wesco,6.6
Samaje Perine,142.1
A.J. Green,61.6
Allen Robinson,84.9
Juwan Johnson,134.8
Kenyan Drake,104.1
Geoff Swaim,23.8
Malik Turner,0
Royce Freeman,19.0
Kylin Hill,0.7
Kylen Granson,61.2
Miles Boykin,3.1
Sam Ehlinger,35.6
Geno Smith,303.9
D.J. Moore,199.1
Nick Boyle,0
Deebo Samuel,168.4
Jeff Smith,21.4
Ke'Shawn Vaughn,10.2
Matthew Stafford,108.4
Brett Rypien,18.0
Taysom Hill,145.8
Darrel Williams,21.1
K.J. Osborn,155.6
David Johnson,9.1
Cam Sims,16.9
Justin Jackson,51.1
DJ Chark,98.2
Tyler Mabry,7.7
Nelson Agholor,75.2
Ihmir Smith-Marsette,0.4
Amari Rodgers,39.1
Dalton Schultz,142.7
Deon Jackson,84.5
Adam Prentice,4.8
Freddie Swain,11.4
Tony Pollard,248.8
Davis Webb,20.8
David Njoku,142.0
J.P. Holtz,0
Darrynton Evans,10.7
Harrison Bryant,61.7
Jakobi Meyers,180.3
Diontae Johnson,180.7
Teddy Bridgewater,38.0
Albert Okwuegbunam,25.5
Kalif Raymond,116.2
Deonte Harty,1.3
Elijah Moore,88.1
Jonathan Williams,26.2
Brandin Cooks,145.6
Hunter Renfrow,79.0
James Washington,0
Ty Johnson,42.8
Mike Gesicki,98.2
Christian McCaffrey,356.4
Cooper Kupp,201.4
Leonard Fournette,226.1
Tyler Johnson,0
Quez Watkins,84.5
Mitchell Wilcox,36.9
Jordan Wilkins,14.7
Brycen Hopkins,17.9
Taylor Heinicke,116.0
Kevin White,9.4
Russell Gage,123.6
Anthony McFarland Jr.,6.1
Jarvis Landry,60.2
Cole Beasley,9.5
Jared Pinkney,0
Mike Boone,28.8
Nico Collins,97.1
Jamaal Williams,225.9
Adam Thielen,180.0
Parker Hesse,17.9
Michael Pittman Jr.,216.5
Kirk Cousins,291.6
Sean McKeon,3.1
Alex Erickson,0
DeVonta Smith,254.6
Jalen Camp,1.7
Dez Fitzpatrick,0
Reggie Gilliam,20.9
Duke Johnson,0.4
Stanley Morgan Jr.,0
Jonathan Taylor,146.4
Jake Kumerow,10.4
Nick Mullens,11.8
Darnell Mooney,101.5
Tyler Davis,6.6
Eric Tomlinson,28.9
Courtland Sutton,159.4
Charlie Woerner,0
Trenton Cannon,0
Ian Thomas,40.7
D'Onta Foreman,131.0
Durham Smythe,40.0
Donald Parham,29.0
DeVante Parker,102.9
Robert Woods,115.7
Mason Kinsey,1.3
Quintez Cephus,3.5
Trey Lance,12.5
Cethan Carter,0
Devin Singletary,177.9
Gerald Everett,139.5
Tyreek Hill,347.2
Blaine Gabbert,5.2
Johnny Mundt,39.0
Travis Homer,43.1
Noah Fant,122.6
Eric Saubert,35.8
Mo Alie-Cox,53.9
Amon-Ra St. Brown,267.6
Josh Palmer,169.3
Robert Tonyan,112.0
Trenton Irwin,63.2
Logan Woodside,0
Mason Schreck,2.6
Parris Campbell,149.1
Mark Ingram,50.1
Travis Kelce,316.3
Giovani Bernard,4.7
Mack Hollins,154.2
Godwin Igwebuike,1.7
Tyler Lockett,237.3
Gunner Olszewski,12.2
Lamar Jackson,236.1
Amari Cooper,246.0
Colby Parkinson,69.2
Evan Engram,176.9
C.J. Uzomah,56.2
Jalen Guyton,8.4
Kenny Yeboah,0
Trent Taylor,11.7
Isaiah McKenzie,119.8
Stephen Sullivan,6.6
Scott Miller,42.3
Chad Henne,-0.5
Cody Hollister,8.4
Kendall Hinton,56.4
Tyler Conklin,131.5
Pat Freiermuth,148.2
Ross Dwelley,19.5
Chris Evans,12.8
Derek Carr,219.1
Brevin Jordan,26.8
N'Keal Harry,24.6
Bryan Edwards,4.5
Laquon Treadwell,10.2
J.D. McKissic,55.8
Tylan Wallace,7.3
Jauan Jennings,82.6
Gabriel Davis,171.6
Myles Gaskin,9.4
Jesper Horsted,4.9
Chris Myarick,19.5
John Kelly,0
Tre'Quan Smith,52.8
C.J. Board,1.6
Demarcus Robinson,103.8
Jake Funk,0
Josh Gordon,0
Tommy Tremble,52.4
Kendrick Bourne,88.3
Austin Trammell,3.3
Jamison Crowder,12.0
Tyree Jackson,0
Dak Prescott,198.6
Sony Michel,24.9
Trey Sermon,1.9
Keelan Cole,30.1
Kenneth Gainwell,87.9
Frank Darby,2.5
Michael Burton,3.8
Terry McLaurin,229.0
Andy Isabella,4.2
MyCole Pruitt,55.0
Jordan Howard,0.1
Donovan Peoples-Jones,167.1
Ashton Dulin,42.5
Tom Brady,271.7
Pharaoh Brown,23.7
James Conner,200.2
Elijah Mitchell,43.6
Damien Williams,0.2
Rashaad Penny,52.2
Nick Westbrook-Ikhine,82.7
D'Wayne Eskridge,13.8
Stephen Anderson,3.9
Jaret Patterson,7.8
Marcus Kemp,0
Shane Zylstra,41.0
Tom Kennedy,22.1
T.J. Hockenson,215.4
Sterling Shepard,34.4
Dalvin Cook,237.8
Brandon Powell,47.6
Dawson Knox,135.7
Miller Forristall,0
Racey McMath,6.4
Khari Blasingame,0
Brandon Allen,0.8
Corey Davis,97.6
D.K. Metcalf,226.8
Jordan Akins,116.5
Avery Williams,34.0
Patrick Taylor,5.8
Kadarius Toney,57.3
Cedrick Wilson Jr.,26.4
Josh Johnson,0.7
Andre Roberts,0
Alvin Kamara,211.7
Clyde Edwards-Helaire,98.3
Michael Bandy,18.9
Justin Fields,296.0
Jason Moore,1.5
Demetric Felton,2.4
Jared Goff,284.3
Eno Benjamin,89.6
Aaron Jones,248.6
Chris Conley,8.6
Devin Duvernay,116.1
Sammy Watkins,46.5
Ray-Ray McCloud,58.1
John Bates,30.8
Brian Hoyer,1.5
Zach Gentry,32.2
Gary Brightwell,29.0
Russell Wilson,225.8
Ben Ellefson,5.6
Marvin Jones,116.9
John Brown,11.2
Mike White,56.6
Austin Ekeler,372.7
D'Andre Swift,191.1
Nick Chubb,281.4
Dax Milne,15.7
Davante Adams,335.5
Trevor Lawrence,295.6
Darrell Henderson,73.5
Spencer Brown,7.3
Jonathan Ward,5.2
Latavius Murray,154.2
Keith Smith,2.0
Antonio Gibson,165.9
Olamide Zaccheaus,110.0
Tyler Huntley,50.0
Dante Pettis,65.2
Tommy Sweeney,1.7
Christian Kirk,241.9
Miles Sanders,216.7
Blake Bell,10.0
JuJu Smith-Schuster,185.3
Taiwan Jones,-2.0
Joe Flacco,48.3
Marquez Callaway,37.8
Trayveon Williams,8.0
P.J. Walker,39.1
KhaDarel Hodge,41.2
Noah Togiai,0
Joe Mixon,239.5
Van Jefferson,78.9
Kyle Pitts,75.6
Kene Nwangwu,11.5
Jalen Hurts,378.0
Justin Watson,58.5
Chase Daniel,8.5
Shi Smith,61.6
Dan Arnold,22.5
Mike Evans,225.4
